Date,Open,High,Low,Close
08/12/2023,194.199997,195.990005,193.669998,195.710007
11/12/2023,193.110001,193.490005,191.419998,193.179993
12/12/2023,193.080002,194.720001,191.720001,194.710007
13/12/2023,195.089996,198,194.850006,197.960007
14/12/2023,198.020004,199.619995,196.160004,198.110001
15/12/2023,197.529999,198.399994,197,197.570007
18/12/2023,196.089996,196.630005,194.389999,195.889999
19/12/2023,196.160004,196.949997,195.889999,196.940002
20/12/2023,196.899994,197.679993,194.830002,194.830002
21/12/2023,196.100006,197.080002,193.5,194.679993
22/12/2023,195.179993,195.410004,192.970001,193.600006
26/12/2023,193.610001,193.889999,192.830002,193.050003
27/12/2023,192.490005,193.5,191.089996,193.149994
28/12/2023,194.139999,194.660004,193.169998,193.580002
29/12/2023,193.899994,194.399994,191.729996,192.529999
02/01/2024,187.149994,188.440002,183.889999,185.639999
03/01/2024,184.220001,185.880005,183.429993,184.25
04/01/2024,182.149994,183.089996,180.880005,181.910004
05/01/2024,181.990005,182.759995,180.169998,181.179993
08/01/2024,182.089996,185.600006,181.5,185.559998
09/01/2024,183.919998,185.149994,182.729996,185.139999
10/01/2024,184.350006,186.399994,183.919998,186.190002
11/01/2024,186.539993,187.050003,183.619995,185.589996
12/01/2024,186.059998,186.740005,185.190002,185.919998
16/01/2024,182.160004,184.259995,180.929993,183.630005
17/01/2024,181.270004,182.929993,180.300003,182.679993
18/01/2024,186.089996,189.139999,185.830002,188.630005
19/01/2024,189.330002,191.949997,188.820007,191.559998
22/01/2024,192.300003,195.330002,192.259995,193.889999
23/01/2024,195.020004,195.75,193.830002,195.179993
24/01/2024,195.419998,196.380005,194.339996,194.5
25/01/2024,195.220001,196.270004,193.110001,194.169998
26/01/2024,194.270004,194.759995,191.940002,192.419998
29/01/2024,192.009995,192.199997,189.580002,191.729996
30/01/2024,190.940002,191.800003,187.470001,188.039993
31/01/2024,187.039993,187.100006,184.350006,184.399994
