Date,Open,High,Low,Close
08/09/2023,4451.3,4473.53,4448.38,4457.49
07/09/2023,4434.55,4457.81,4430.46,4451.14
06/09/2023,4490.35,4490.35,4442.38,4465.48
05/09/2023,4510.06,4514.29,4496.01,4496.83
01/09/2023,4530.6,4541.25,4501.35,4515.77
31/08/2023,4517.01,4532.26,4507.39,4507.66
30/08/2023,4500.34,4521.65,4493.59,4514.87
29/08/2023,4432.75,4500.14,4431.68,4497.63
28/08/2023,4426.03,4439.56,4414.98,4433.31
25/08/2023,4389.38,4418.46,4356.29,4405.71
24/08/2023,4455.16,4458.3,4375.55,4376.31
23/08/2023,4396.44,4443.18,4396.44,4436.01
22/08/2023,4415.33,4418.59,4382.77,4387.55
21/08/2023,4380.28,4407.55,4360.3,4399.77
18/08/2023,4344.88,4381.82,4335.31,4369.71
17/08/2023,4416.32,4421.17,4364.83,4370.36
16/08/2023,4433.79,4449.95,4403.55,4404.33
15/08/2023,4478.87,4478.87,4432.19,4437.86
14/08/2023,4458.13,4490.33,4453.44,4489.72
11/08/2023,4450.69,4476.23,4443.98,4464.05
10/08/2023,4487.16,4527.37,4457.92,4468.83
09/08/2023,4501.57,4502.44,4461.33,4467.71
08/08/2023,4498.03,4503.31,4464.39,4499.38
07/08/2023,4491.58,4519.84,4491.15,4518.44
04/08/2023,4513.96,4540.34,4474.55,4478.03
03/08/2023,4494.27,4519.49,4485.54,4501.89
02/08/2023,4550.93,4550.93,4505.75,4513.39
01/08/2023,4578.83,4584.62,4567.53,4576.73
31/07/2023,4584.82,4594.22,4573.14,4588.96
28/07/2023,4565.75,4590.16,4564.01,4582.23
27/07/2023,4598.26,4607.07,4528.56,4537.41
26/07/2023,4558.96,4582.47,4547.58,4566.75
25/07/2023,4555.19,4580.62,4552.42,4567.46
24/07/2023,4543.39,4563.41,4541.29,4554.64
21/07/2023,4550.16,4555,4535.79,4536.34
20/07/2023,4554.38,4564.74,4527.56,4534.87
19/07/2023,4563.87,4578.43,4557.48,4565.72
18/07/2023,4521.78,4562.3,4514.59,4554.98
17/07/2023,4508.86,4532.85,4504.9,4522.79
14/07/2023,4514.61,4527.76,4499.56,4505.42
13/07/2023,4491.5,4517.38,4489.36,4510.04
12/07/2023,4467.69,4488.34,4463.23,4472.16
11/07/2023,4415.55,4443.64,4408.46,4439.26
10/07/2023,4394.23,4412.6,4389.92,4409.53
07/07/2023,4404.54,4440.39,4397.4,4398.95
07/06/2023,4422.62,4422.62,4385.05,4411.59
07/05/2023,4442.04,4454.06,4436.61,4446.82
03/07/2023,4450.48,4456.46,4442.29,4455.59
30/06/2023,4422.44,4458.48,4422.44,4450.38
29/06/2023,4374.94,4398.39,4371.97,4396.44
28/06/2023,4367.48,4390.35,4360.22,4376.86
27/06/2023,4337.36,4384.42,4335,4378.41
26/06/2023,4344.84,4362.06,4328.08,4328.82
23/06/2023,4354.17,4366.55,4341.34,4348.33
22/06/2023,4355.4,4382.25,4351.82,4381.89
